variant,corruption_type,target_rate,actual_rate,split,dataset,corrupted_cells,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
numeric_missing_10,numeric_missing,0.1000,0.0000,VAL,I23Sub,0,0.9185,0.9592,0.5087,0.4958,0.1088,0.1263,0.0314,0.9955,0.9831,0.9251,0.9185,0.8809,0.9955,0.9955,0.9592,0.9592,0.9251,0.9932,1.0000,0.9184
numeric_missing_10,numeric_missing,0.1000,0.0000,TEST,I23Sub,0,0.9188,0.9593,0.5121,0.5024,0.1111,0.1492,0.0435,0.9930,0.9730,0.9254,0.9188,0.8818,0.9930,0.9930,0.9593,0.9593,0.9254,0.9932,1.0000,0.9186
numeric_missing_10,numeric_missing,0.1000,0.1000,VAL,K99Sub,6046,0.9198,0.9276,0.9156,0.9186,0.3090,0.8432,0.8376,0.9781,0.9763,0.9247,0.9198,0.9192,0.9781,0.9781,0.9276,0.9276,0.9247,0.9306,0.8844,0.9709
numeric_missing_10,numeric_missing,0.1000,0.0975,TEST,K99Sub,5896,0.9217,0.9306,0.9172,0.9204,0.3102,0.8477,0.8413,0.9780,0.9741,0.9274,0.9217,0.9211,0.9780,0.9780,0.9306,0.9306,0.9274,0.9338,0.8833,0.9778
numeric_missing_10,numeric_missing,0.1000,0.1000,VAL,NTD1,38660,0.9526,0.9331,0.7430,0.8062,0.1648,0.6488,0.6148,0.9778,0.7996,0.9510,0.9526,0.9460,0.9778,0.9778,0.9331,0.9331,0.9510,0.9153,0.9116,0.9546
numeric_missing_10,numeric_missing,0.1000,0.0992,TEST,NTD1,38322,0.9515,0.9341,0.7345,0.7989,0.1714,0.6381,0.6005,0.9768,0.7947,0.9499,0.9515,0.9443,0.9768,0.9768,0.9341,0.9341,0.9499,0.9183,0.9151,0.9531
numeric_missing_10,numeric_missing,0.1000,0.0987,VAL,NTD2,6612,0.7940,0.8460,0.7823,0.7808,0.5796,0.6251,0.5773,0.9211,0.9203,0.8390,0.7940,0.7840,0.9211,0.9211,0.8460,0.8460,0.8390,0.8531,0.9663,0.7257
numeric_missing_10,numeric_missing,0.1000,0.1010,TEST,NTD2,6766,0.7923,0.8464,0.7804,0.7786,0.5817,0.6233,0.5737,0.9179,0.9166,0.8392,0.7923,0.7818,0.9179,0.9179,0.8464,0.8464,0.8392,0.8536,0.9693,0.7234
numeric_missing_10,numeric_missing,0.1000,0.1000,VAL,WII21,304684,1.0000,1.0000,0.9999,1.0000,0.0001,0.9999,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
numeric_missing_10,numeric_missing,0.1000,0.1004,TEST,WII21,305754,1.0000,1.0000,0.9999,1.0000,0.0001,0.9999,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
numeric_missing_10,numeric_missing,0.1000,0.1000,VAL,global_weighted,356002,0.9803,0.9784,0.9278,0.9416,0.0620,0.8953,0.8848,0.9921,0.9525,0.9816,0.9803,0.9780,0.9921,0.9921,0.9784,0.9784,0.9816,0.9752,0.9776,0.9792
numeric_missing_10,numeric_missing,0.1000,0.1002,TEST,global_weighted,356738,0.9800,0.9787,0.9259,0.9400,0.0636,0.8933,0.8818,0.9917,0.9511,0.9814,0.9800,0.9775,0.9917,0.9917,0.9787,0.9787,0.9814,0.9760,0.9784,0.9789
numeric_missing_20,numeric_missing,0.2000,0.0000,VAL,I23Sub,0,0.9185,0.9592,0.5087,0.4958,0.1088,0.1263,0.0314,0.9955,0.9831,0.9251,0.9185,0.8809,0.9955,0.9955,0.9592,0.9592,0.9251,0.9932,1.0000,0.9184
numeric_missing_20,numeric_missing,0.2000,0.0000,TEST,I23Sub,0,0.9188,0.9593,0.5121,0.5024,0.1111,0.1492,0.0435,0.9930,0.9730,0.9254,0.9188,0.8818,0.9930,0.9930,0.9593,0.9593,0.9254,0.9932,1.0000,0.9186
numeric_missing_20,numeric_missing,0.2000,0.1986,VAL,K99Sub,12010,0.9166,0.9213,0.9133,0.9156,0.3354,0.8346,0.8315,0.9726,0.9720,0.9192,0.9166,0.9162,0.9726,0.9726,0.9213,0.9213,0.9192,0.9234,0.8908,0.9519
numeric_missing_20,numeric_missing,0.2000,0.2015,TEST,K99Sub,12183,0.9166,0.9196,0.9140,0.9158,0.3405,0.8336,0.8318,0.9718,0.9709,0.9181,0.9166,0.9164,0.9718,0.9718,0.9196,0.9196,0.9181,0.9211,0.8973,0.9420
numeric_missing_20,numeric_missing,0.2000,0.1985,VAL,NTD1,76714,0.9416,0.9299,0.6703,0.7345,0.1812,0.5412,0.4756,0.9748,0.8035,0.9403,0.9416,0.9291,0.9748,0.9748,0.9299,0.9299,0.9403,0.9196,0.9175,0.9424
numeric_missing_20,numeric_missing,0.2000,0.2002,TEST,NTD1,77346,0.9392,0.9277,0.6555,0.7175,0.1879,0.5157,0.4431,0.9736,0.7929,0.9378,0.9392,0.9252,0.9736,0.9736,0.9277,0.9277,0.9378,0.9175,0.9154,0.9399
numeric_missing_20,numeric_missing,0.2000,0.1978,VAL,NTD2,13248,0.7940,0.8460,0.7823,0.7808,0.5796,0.6251,0.5773,0.9227,0.9217,0.8390,0.7940,0.7840,0.9227,0.9227,0.8460,0.8460,0.8390,0.8531,0.9663,0.7257
numeric_missing_20,numeric_missing,0.2000,0.1993,TEST,NTD2,13354,0.7923,0.8464,0.7804,0.7786,0.5817,0.6233,0.5737,0.9200,0.9185,0.8392,0.7923,0.7818,0.9200,0.9200,0.8464,0.8464,0.8392,0.8536,0.9693,0.7234
numeric_missing_20,numeric_missing,0.2000,0.2000,VAL,WII21,609108,1.0000,1.0000,0.9999,1.0000,0.0001,0.9999,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
numeric_missing_20,numeric_missing,0.2000,0.2000,TEST,WII21,609305,1.0000,1.0000,0.9999,0.9999,0.0001,0.9999,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
numeric_missing_20,numeric_missing,0.2000,0.1998,VAL,global_weighted,711080,0.9778,0.9776,0.9117,0.9257,0.0661,0.8714,0.8540,0.9914,0.9533,0.9791,0.9778,0.9742,0.9914,0.9914,0.9776,0.9776,0.9791,0.9761,0.9790,0.9762
numeric_missing_20,numeric_missing,0.2000,0.2001,TEST,global_weighted,712188,0.9772,0.9771,0.9084,0.9220,0.0677,0.8660,0.8468,0.9910,0.9507,0.9786,0.9772,0.9733,0.9910,0.9910,0.9771,0.9771,0.9786,0.9756,0.9787,0.9755
categorical_oob_10,categorical_oob,0.1000,0.0973,VAL,I23Sub,8109,0.9234,0.9614,0.5382,0.5509,0.1242,0.2655,0.1317,0.9947,0.9837,0.9293,0.9234,0.8921,0.9947,0.9947,0.9614,0.9614,0.9293,0.9936,1.0000,0.9229
categorical_oob_10,categorical_oob,0.1000,0.0990,TEST,I23Sub,8250,0.9240,0.9617,0.5433,0.5597,0.1256,0.2826,0.1479,0.9923,0.9761,0.9298,0.9240,0.8935,0.9923,0.9923,0.9617,0.9617,0.9298,0.9936,1.0000,0.9234
categorical_oob_10,categorical_oob,0.1000,0.1006,VAL,K99Sub,2282,0.9159,0.9264,0.9109,0.9143,0.2920,0.8372,0.8294,0.9812,0.9796,0.9229,0.9159,0.9151,0.9812,0.9812,0.9264,0.9264,0.9229,0.9300,0.8741,0.9788
categorical_oob_10,categorical_oob,0.1000,0.0963,TEST,K99Sub,2183,0.9196,0.9312,0.9144,0.9180,0.2935,0.8455,0.8368,0.9801,0.9773,0.9274,0.9196,0.9188,0.9801,0.9801,0.9312,0.9312,0.9274,0.9350,0.8752,0.9873
categorical_oob_10,categorical_oob,0.1000,0.1000,VAL,NTD1,22074,0.9574,0.9386,0.7720,0.8319,0.1581,0.6908,0.6654,0.9771,0.8026,0.9560,0.9574,0.9525,0.9771,0.9771,0.9386,0.9386,0.9560,0.9212,0.9176,0.9596
categorical_oob_10,categorical_oob,0.1000,0.1006,TEST,NTD1,22213,0.9550,0.9367,0.7565,0.8186,0.1659,0.6694,0.6393,0.9759,0.7871,0.9535,0.9550,0.9491,0.9759,0.9759,0.9367,0.9367,0.9535,0.9200,0.9166,0.9569
categorical_oob_10,categorical_oob,0.1000,0.1007,VAL,NTD2,21076,0.7374,0.8168,0.7221,0.7107,0.6040,0.5305,0.4574,0.9008,0.9024,0.8083,0.7374,0.7159,0.9008,0.9008,0.8168,0.8168,0.8083,0.8252,0.9614,0.6722
categorical_oob_10,categorical_oob,0.1000,0.0998,TEST,NTD2,20883,0.7350,0.8193,0.7193,0.7068,0.6055,0.5293,0.4520,0.9000,0.8980,0.8106,0.7350,0.7121,0.9000,0.9000,0.8193,0.8193,0.8106,0.8281,0.9695,0.6692
categorical_oob_10,categorical_oob,0.1000,0.0997,VAL,WII21,214375,0.9996,0.9975,0.9996,0.9985,0.0020,0.9971,0.9971,1.0000,1.0000,0.9996,0.9996,0.9996,1.0000,1.0000,0.9975,0.9975,0.9996,0.9954,1.0000,0.9950
categorical_oob_10,categorical_oob,0.1000,0.0998,TEST,WII21,214480,0.9996,0.9974,0.9996,0.9985,0.0021,0.9969,0.9969,1.0000,1.0000,0.9996,0.9996,0.9996,1.0000,1.0000,0.9974,0.9974,0.9996,0.9951,1.0000,0.9947
categorical_oob_10,categorical_oob,0.1000,0.0997,VAL,global_weighted,267916,0.9792,0.9769,0.9323,0.9446,0.0627,0.9012,0.8912,0.9913,0.9526,0.9814,0.9792,0.9769,0.9913,0.9913,0.9769,0.9769,0.9814,0.9723,0.9786,0.9751
categorical_oob_10,categorical_oob,0.1000,0.0998,TEST,global_weighted,268009,0.9786,0.9765,0.9289,0.9417,0.0646,0.8967,0.8855,0.9909,0.9489,0.9810,0.9786,0.9761,0.9909,0.9909,0.9765,0.9765,0.9810,0.9720,0.9786,0.9744
feature_dropout_10,feature_dropout,0.1000,0.1003,VAL,I23Sub,8361,0.9254,0.9624,0.5503,0.5719,0.1237,0.3052,0.1704,0.9954,0.9837,0.9310,0.9254,0.8964,0.9954,0.9954,0.9624,0.9624,0.9310,0.9938,1.0000,0.9248
feature_dropout_10,feature_dropout,0.1000,0.1013,TEST,I23Sub,8440,0.9248,0.9621,0.5484,0.5686,0.1249,0.2992,0.1644,0.9922,0.9753,0.9305,0.9248,0.8954,0.9922,0.9922,0.9621,0.9621,0.9305,0.9937,1.0000,0.9242
feature_dropout_10,feature_dropout,0.1000,0.1019,VAL,K99Sub,8473,0.9143,0.9215,0.9101,0.9130,0.3187,0.8315,0.8264,0.9762,0.9744,0.9187,0.9143,0.9137,0.9762,0.9762,0.9215,0.9215,0.9187,0.9242,0.8808,0.9621
feature_dropout_10,feature_dropout,0.1000,0.0991,TEST,K99Sub,8243,0.9177,0.9237,0.9140,0.9166,0.3186,0.8377,0.8335,0.9758,0.9750,0.9213,0.9177,0.9172,0.9758,0.9758,0.9237,0.9237,0.9213,0.9262,0.8874,0.9601
feature_dropout_10,feature_dropout,0.1000,0.0997,VAL,NTD1,60524,0.9453,0.9309,0.6945,0.7601,0.1716,0.5790,0.5251,0.9741,0.8031,0.9438,0.9453,0.9350,0.9741,0.9741,0.9309,0.9309,0.9438,0.9181,0.9155,0.9464
feature_dropout_10,feature_dropout,0.1000,0.0999,TEST,NTD1,60636,0.9437,0.9301,0.6843,0.7495,0.1780,0.5631,0.5045,0.9738,0.8003,0.9422,0.9437,0.9325,0.9738,0.9738,0.9301,0.9301,0.9422,0.9180,0.9155,0.9447
feature_dropout_10,feature_dropout,0.1000,0.1002,VAL,NTD2,27698,0.7348,0.8172,0.7192,0.7069,0.6043,0.5274,0.4516,0.9045,0.9049,0.8085,0.7348,0.7122,0.9045,0.9045,0.8172,0.8172,0.8085,0.8258,0.9649,0.6695
feature_dropout_10,feature_dropout,0.1000,0.0999,TEST,NTD2,27612,0.7308,0.8161,0.7150,0.7016,0.6066,0.5213,0.4432,0.9023,0.9012,0.8073,0.7308,0.7070,0.9023,0.9023,0.8161,0.8161,0.8073,0.8249,0.9663,0.6659
feature_dropout_10,feature_dropout,0.1000,0.0999,VAL,WII21,518842,0.9996,0.9978,0.9993,0.9985,0.0019,0.9971,0.9971,1.0000,1.0000,0.9996,0.9996,0.9996,1.0000,1.0000,0.9978,0.9978,0.9996,0.9960,0.9999,0.9956
feature_dropout_10,feature_dropout,0.1000,0.1000,TEST,WII21,519571,0.9994,0.9966,0.9992,0.9979,0.0029,0.9958,0.9958,1.0000,1.0000,0.9994,0.9994,0.9994,1.0000,1.0000,0.9966,0.9966,0.9994,0.9938,0.9999,0.9933
feature_dropout_10,feature_dropout,0.1000,0.0999,VAL,global_weighted,623898,0.9764,0.9753,0.9150,0.9289,0.0660,0.8769,0.8605,0.9907,0.9527,0.9787,0.9764,0.9730,0.9907,0.9907,0.9753,0.9753,0.9787,0.9720,0.9783,0.9724
feature_dropout_10,feature_dropout,0.1000,0.1000,TEST,global_weighted,624502,0.9758,0.9743,0.9126,0.9259,0.0683,0.8723,0.8548,0.9905,0.9519,0.9782,0.9758,0.9722,0.9905,0.9905,0.9743,0.9743,0.9782,0.9704,0.9785,0.9701
