variant,hash_buckets,split,dataset,shared_categorical_features,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
hash_1024,1024,VAL,I23Sub,0,0.9904953917050692,0.9948709978240597,0.9427083333333333,0.967035537437607,0.9905928900183214,0.9904953917050692,0.9902310778809564,0.10589865651259198,0.9361271594429745,0.9340917248805809,0.9934634108040201,0.9934634108040201,0.9934634108040201,0.9702896856044223,0.9948709978240597,0.9948709978240597,0.9905928900183214,0.9991491056297979,1.0,0.9897419956481194
hash_1024,1024,TEST,I23Sub,0,0.9879032258064516,0.9934883720930232,0.9273356401384083,0.9575437419643357,0.9880607651912978,0.9879032258064516,0.98746892801307,0.1079993757305977,0.9184447057699949,0.9151310712327715,0.9910869487230498,0.9910869487230498,0.9910869487230498,0.9608990809950694,0.9934883720930232,0.9934883720930232,0.9880607651912978,0.9989159789947487,1.0,0.9869767441860465
hash_1024,1024,VAL,K99Sub,1,0.9102937284996031,0.9195512049823675,0.9055558463324683,0.9087212701262752,0.9163142370149248,0.9102937284996031,0.9095360318237454,0.27491960876583976,0.8249883490484723,0.8181825278070183,0.9787384859377473,0.9787384859377473,0.9787384859377473,0.9780271591204894,0.9195512049823675,0.9195512049823675,0.9163142370149248,0.9227881729498104,0.871953921134249,0.9671484888304862
hash_1024,1024,TEST,K99Sub,1,0.9105583487695157,0.920022832646024,0.9058082912721999,0.9089840893064702,0.9167570093868772,0.9105583487695157,0.9097918079444512,0.2737334855837019,0.825708781620717,0.8187246512232554,0.9799552836080603,0.9799552836080603,0.9799552836080603,0.9801365141507411,0.920022832646024,0.920022832646024,0.9167570093868772,0.9232886559051712,0.8716246126604692,0.968421052631579
hash_1024,1024,VAL,NTD1,2,0.9150046193141677,0.4575023096570838,0.5,0.47780804812985983,0.837233453366265,0.9150046193141677,0.8743931423686158,0.16465671264782972,0.0,0.0,0.9832224406548028,0.9832224406548028,0.9832224406548028,0.8539537206842004,0.4575023096570838,0.4575023096570838,0.837233453366265,0.07777116594790273,0.0,0.9150046193141677
hash_1024,1024,TEST,NTD1,2,0.9149865043566473,0.45749325217832365,0.5,0.47780310841618345,0.8372003031547969,0.9149865043566473,0.8743667918809278,0.17277848399798906,0.0,0.0,0.9819264744017585,0.9819264744017585,0.9819264744017585,0.8425920961424049,0.45749325217832365,0.45749325217832365,0.8372003031547969,0.07778620120185036,0.0,0.9149865043566473
hash_1024,1024,VAL,NTD2,0,0.860042990207786,0.8671032811447541,0.8558740157372149,0.8579519773888642,0.8648597386291157,0.860042990207786,0.8589604382956277,0.4989333628631374,0.7228900852862526,0.7170370741123582,0.9235591677244228,0.9235591677244228,0.9235591677244228,0.9168927749941919,0.8671032811447541,0.8671032811447541,0.8648597386291157,0.8693468236603925,0.9054449648711944,0.8287615974183138
hash_1024,1024,TEST,NTD2,0,0.8607594936708861,0.8703449895576085,0.8559759564222746,0.8582965605138433,0.8676110588332232,0.8607594936708861,0.8593897101940524,0.5003272898181481,0.7261787985447301,0.7181352701195819,0.9220210997184812,0.9220210997184812,0.9220210997184812,0.9131419596417569,0.8703449895576085,0.8703449895576085,0.8676110588332232,0.8730789202819937,0.9170673076923077,0.8236226714229092
hash_1024,1024,VAL,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.870006615692692e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hash_1024,1024,TEST,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8751868270029812e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hash_1024,1024,VAL,global_weighted,3,0.9750558004464036,0.8744701916990523,0.8825421318746837,0.8780971551986718,0.9581365602656068,0.9750558004464036,0.9660368415552401,0.0587107269526365,0.7663715151434302,0.7660443151544611,0.9933226288316774,0.9933226288316774,0.9933226288316774,0.9642224248332634,0.8744701916990523,0.8744701916990523,0.9581365602656068,0.7908038231324978,0.7740834326826522,0.9748569507154523
hash_1024,1024,TEST,global_weighted,3,0.9750438003504028,0.8745647039377584,0.8823358648243519,0.8779797563869745,0.9581929257711697,0.9750438003504028,0.9660109073098637,0.06056209979229253,0.7662469890286789,0.7658259677608391,0.9929703307953028,0.9929703307953028,0.9929703307953028,0.9614894509139265,0.8745647039377584,0.8745647039377584,0.9581929257711697,0.7909364821043472,0.7744677599255165,0.9746616479500001
hash_8192,8192,VAL,I23Sub,1,0.9930875576036866,0.9962593516209477,0.9583333333333333,0.9763835228818631,0.9931392716365768,0.9930875576036866,0.9929502641676168,0.22249317117119388,0.9538389860479968,0.9527747551686616,0.9815876256281406,0.9815876256281406,0.9815876256281406,0.9796935251483625,0.9962593516209477,0.9962593516209477,0.9931392716365768,0.9993794316053185,1.0,0.9925187032418953
hash_8192,8192,TEST,I23Sub,1,0.9930875576036866,0.9962581852198316,0.9584775086505191,0.976461415908205,0.9931392877619378,0.9930875576036866,0.992950810722024,0.22383688926215578,0.9539878749900677,0.9529304904542574,0.9693168834867761,0.9693168834867761,0.9693168834867761,0.9675115354788414,0.9962581852198316,0.9962581852198316,0.9931392877619378,0.9993770826777254,1.0,0.9925163704396632
hash_8192,8192,VAL,K99Sub,1,0.907118285260651,0.9075351771392715,0.9093805945243518,0.9070423613078735,0.9101483774516002,0.907118285260651,0.9072230321955013,0.3819786520244372,0.8169136872567677,0.8143735334689209,0.9729450842474514,0.9729450842474514,0.9729450842474514,0.9690183110190614,0.9075351771392715,0.9075351771392715,0.9101483774516002,0.9049219768269429,0.9459604066345639,0.8691099476439791
hash_8192,8192,TEST,K99Sub,1,0.9073829055305637,0.9082936582440586,0.9099728077515916,0.9073337914389916,0.9111608427124684,0.9073829055305637,0.9074777465349784,0.37588302352202063,0.8182647431179849,0.8150333363726424,0.976783886341804,0.976783886341804,0.976783886341804,0.9743054166137062,0.9082936582440586,0.9082936582440586,0.9111608427124684,0.9054264737756487,0.950784207679827,0.8658031088082901
hash_8192,8192,VAL,NTD1,2,0.9668858576526638,0.943376042118117,0.8329433483912065,0.8786402728511622,0.9656657815593693,0.9668858576526638,0.9645350416149971,0.13243472708526388,0.7684246327630226,0.757738703234127,0.9750527212063218,0.9750527212063218,0.9750527212063218,0.7998996830486199,0.943376042118117,0.943376042118117,0.9656657815593693,0.9210863026768648,0.91652123327516,0.9702308509610741
hash_8192,8192,TEST,NTD1,2,0.9640961541945184,0.9402262990528274,0.8163775832133378,0.8660463825262468,0.9627103177413177,0.9640961541945184,0.9611647714086115,0.1395703466658325,0.7463986403023136,0.7327451187911117,0.9736342217964024,0.9736342217964024,0.9736342217964024,0.7883215370047348,0.9402262990528274,0.9402262990528274,0.9627103177413177,0.9177422803643372,0.9131362389515392,0.9673163591541157
hash_8192,8192,VAL,NTD2,0,0.7950800095533795,0.8440070455380833,0.8059872437345115,0.7910284868664448,0.8525025266268519,0.7950800095533795,0.7893258744165322,0.5177473758715964,0.6488813996084358,0.5980854145941323,0.9369572130733176,0.9369572130733176,0.9369572130733176,0.8937399633220471,0.8440070455380833,0.8440070455380833,0.8525025266268519,0.8355115644493146,0.6988210075026795,0.989193083573487
hash_8192,8192,TEST,NTD2,0,0.7922139957009792,0.8420409081893854,0.803237592656699,0.787975382562969,0.8505836608553472,0.7922139957009792,0.7862212267879478,0.5159870228390281,0.6441107407564641,0.592564741916509,0.9442057910551371,0.9442057910551371,0.9442057910551371,0.9073720617438807,0.8420409081893854,0.8420409081893854,0.8505836608553472,0.8334981555234234,0.6960470085470085,0.9880348078317621
hash_8192,8192,VAL,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0803654782781086e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hash_8192,8192,TEST,WII21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.085573994423233e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hash_8192,8192,VAL,global_weighted,4,0.9843238745909967,0.9808218087969486,0.9546644030764784,0.964469188577711,0.9860244264630394,0.9843238745909967,0.9836117166157069,0.0554649708076494,0.9336951640670731,0.9295809103647605,0.991714920841689,0.991714920841689,0.991714920841689,0.9515054391349048,0.9808218087969486,0.9808218087969486,0.9860244264630394,0.9756191911308579,0.9706614978279351,0.9909821197659622
hash_8192,8192,TEST,global_weighted,4,0.9836158689269514,0.9800718929966588,0.9509253053126863,0.9615915037002694,0.9853228492947803,0.9836158689269514,0.9827673783317242,0.056908205363969726,0.9286942129533502,0.9238891974433555,0.9915321073211557,0.9915321073211557,0.9915321073211557,0.9493161852210072,0.9800718929966588,0.9800718929966588,0.9853228492947803,0.9748209366985371,0.9698940430292904,0.9902497429640271
